"","gene","symbol","Description","Entrez"
"32","AT1G75190","AT1G75190","hypothetical protein(AT1G75190)",843856
"33","AT4G25050","ACP4","acyl carrier protein 4(ACP4)",828608
"34","AT3G13740","AT3G13740","Ribonuclease III family protein(AT3G13740)",820583
"35","AT4G27710","CYP709B3","cytochrome P450, family 709, subfamily B, polypeptide 3(CYP709B3)",828885
"36","AT1G75180","AT1G75180","Erythronate-4-phosphate dehydrogenase family protein(AT1G75180)",843855
"37","AT5G47040","LON2","lon protease 2(LON2)",834750
"38","AT1G12520","CCS","copper chaperone for SOD1(CCS)",837808
"39","AT1G66330","AT1G66330","senescence-associated family protein(AT1G66330)",842950
"40","AT3G26165","CYP71B18","miscRNA(CYP71B18)",3768938
"41","AT4G08920","CRY1","cryptochrome 1(CRY1)",826470
"42","AT1G66130","AT1G66130","NAD(P)-binding Rossmann-fold superfamily protein(AT1G66130)",842927
"43","AT1G53870","AT1G53870","LURP-one-like protein (DUF567)(AT1G53870)",841824
"44","AT2G15960","AT2G15960","stress-induced protein(AT2G15960)",816091
"45","AT4G37200","HCF164","Thioredoxin superfamily protein(HCF164)",829874
"46","AT3G16220","AT3G16220","Putative eukaryotic LigT(AT3G16220)",820868
"47","AT4G04850","KEA3","K+ efflux antiporter 3(KEA3)",825822
"48","AT1G55000","AT1G55000","peptidoglycan-binding LysM domain-containing protein(AT1G55000)",841942
"49","AT5G35100","CYP28","Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein(AT5G35100)",833461
"50","AT1G12250","AT1G12250","Pentapeptide repeat-containing protein(AT1G12250)",837778
"51","AT3G01060","AT3G01060","lysine-tRNA ligase(AT3G01060)",821278
"52","AT1G61215","BRD4","bromodomain 4(BRD4)",2745841
"53","AT4G33660","AT4G33660","cysteine-rich TM module stress tolerance protein(AT4G33660)",829507
"54","AT2G25735","AT2G25735","hypothetical protein(AT2G25735)",817115
"55","AT3G06510","SFR2","Glycosyl hydrolase superfamily protein(SFR2)",819829
"56","AT3G61770","AT3G61770","Acid phosphatase/vanadium-dependent haloperoxidase-related protein(AT3G61770)",825350
"57","AT3G57770","AT3G57770","Protein kinase superfamily protein(AT3G57770)",824946
"58","AT5G23920","AT5G23920","transmembrane protein(AT5G23920)",832457
"59","AT4G00895","AT4G00895","ATPase, F1 complex, OSCP/delta subunit protein(AT4G00895)",827987
"60","AT5G19855","AT5G19855","Chaperonin-like RbcX protein(RbcX2)",832106
"61","AT1G02610","AT1G02610","RING/FYVE/PHD zinc finger superfamily protein(AT1G02610)",837915
"62","AT4G11570","AT4G11570","Haloacid dehalogenase-like hydrolase (HAD) superfamily protein(AT4G11570)",826761
"63","AT5G51010","AT5G51010","Rubredoxin-like superfamily protein(AT5G51010)",835174
"64","AT2G33830","AT2G33830","Dormancy/auxin associated family protein(AT2G33830)",817950
"65","AT4G36530","AT4G36530","alpha/beta-Hydrolases superfamily protein(AT4G36530)",829805
"66","AT4G02920","AT4G02920","hypothetical protein(AT4G02920)",828139
"67","AT3G54660","EMB2360","glutathione reductase(GR)",824631
"68","AT4G15545","AT4G15545","PH-response transcription factor(AT4G15545)",827228
"69","AT4G13550","AT4G13550","putative triglyceride lipase(AT4G13550)",826988
"70","AT1G34000","OHP2","one-helix protein 2(OHP2)",840297
"71","AT5G22920","AT5G22920","CHY-type/CTCHY-type/RING-type Zinc finger protein(AT5G22920)",832356
"72","AT1G04350","AT1G04350","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT1G04350)",839542
"73","AT2G45820","DBP","Remorin family protein(AT2G45820)",819190
"74","AT4G28025","AT4G28025","hypothetical protein(AT4G28025)",828917
"75","AT1G21600","PTAC6","plastid transcriptionally active 6(PTAC6)",838761
"76","AT5G46390","CTPA1","Peptidase S41 family protein(AT5G46390)",834682
"77","AT1G75690","LQY1","DnaJ/Hsp40 cysteine-rich domain superfamily protein(LQY1)",843903
"78","AT1G68830","STN7","Serine/Threonine kinase domain protein(STN7)",843215
"79","AT1G76080","CDSP32","chloroplastic drought-induced stress protein of 32 kD(CDSP32)",843940
"80","AT1G75460","AT1G75460","ATP-dependent protease La (LON) domain protein(AT1G75460)",843882
"81","AT2G30950","FTSH2","FtsH extracellular protease family(VAR2)",817646
"82","AT3G10770","AT3G10770","Single-stranded nucleic acid binding R3H protein(AT3G10770)",820246
"83","AT1G19740","AT1G19740","ATP-dependent protease La (LON) domain protein(AT1G19740)",838563
"84","AT4G33510","DHS2","3-deoxy-d-arabino-heptulosonate 7-phosphate synthase(DHS2)",829489
"85","AT1G50320","ATHX","thioredoxin X(THX)",841454
"86","AT5G19190","AT5G19190","hypothetical protein(AT5G19190)",832039
"87","AT1G55805","BOLA1","BolA-like family protein(AT1G55805)",842030
"88","AT1G56180","AT1G56180","ATP-dependent zinc metalloprotease(AT1G56180)",842071
"89","AT1G57770","AT1G57770","FAD/NAD(P)-binding oxidoreductase family protein(AT1G57770)",842152
"90","AT5G61440","ACHT5","atypical CYS HIS rich thioredoxin 5(ACHT5)",836265
"91","AT1G80440","AT1G80440","Galactose oxidase/kelch repeat superfamily protein(AT1G80440)",844383
"92","AT1G12790","AT1G12790","DNA ligase-like protein(AT1G12790)",837835
"93","AT3G48310","CYP71A22","cytochrome P450, family 71, subfamily A, polypeptide 22(CYP71A22)",823989
"94","AT2G25090","CIPK16","CBL-interacting protein kinase 16(CIPK16)",817047
"95","AT2G36800","UGT73C5","don-glucosyltransferase 1(DOGT1)",818252
"96","AT1G10610","BHLH90","basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT1G10610)",837604
"97","AT5G64240","AMC3","metacaspase 3(MC3)",836545
"98","AT1G01448","AT1G01448","ncRNA(AT1G01448)",5007657
"99","AT1G56510","WRR4","Disease resistance protein (TIR-NBS-LRR class)(WRR4)",842104
"100","AT3G13065","SRF4","STRUBBELIG-receptor family 4(SRF4)",820494
"101","AT4G19520","AT4G19520","disease resistance protein (TIR-NBS-LRR class) family(AT4G19520)",827694
"102","AT1G04280","AT1G04280","P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT1G04280)",839555
"103","AT5G38850","AT5G38850","Disease resistance protein (TIR-NBS-LRR class)(AT5G38850)",833876
"104","AT1G22570","NPF5.15","Major facilitator superfamily protein(AT1G22570)",838863
"105","AT1G58848","RF9","Disease resistance protein (CC-NBS-LRR class) family(AT1G58848)",842226
"106","AT3G56140","AT3G56140","DUF399 family protein, putative (DUF399 and DUF3411)(AT3G56140)",824780
"107","AT4G35780","AT4G35780","ACT-like protein tyrosine kinase family protein(STY17)",829731
"108","AT4G04040","PFP-BETA2","Phosphofructokinase family protein(MEE51)",825716
"109","AT4G10080","AT4G10080","transmembrane protein(AT4G10080)",826599
"110","AT1G80180","AT1G80180","hypothetical protein(AT1G80180)",844358
"111","AT2G46220","AT2G46220","DUF2358 family protein (DUF2358)(AT2G46220)",819229
"112","AT1G75100","JAC1","J-domain protein required for chloroplast accumulation response 1(JAC1)",843847
"113","AT3G06080","TBL10","trichome birefringence-like protein (DUF828)(TBL10)",819781
"114","AT5G64840","ABCF5","general control non-repressible 5(ABCF5)",836607
"115","AT3G13040","AT3G13040","myb-like HTH transcriptional regulator family protein(AT3G13040)",820490
"116","AT5G66900","AT5G66900","Disease resistance protein (CC-NBS-LRR class) family(AT5G66900)",836824
"117","AT1G72890","AT1G72890","Disease resistance protein (TIR-NBS class)(AT1G72890)",843620
"118","AT2G01570","RGA","GRAS family transcription factor family protein(RGA1)",814686
"119","AT1G65590","HEXO3","beta-hexosaminidase 3(HEXO3)",842871
"120","AT1G02660","AT1G02660","alpha/beta-Hydrolases superfamily protein(AT1G02660)",839544
"121","AT2G25930","ELF3","hydroxyproline-rich glycoprotein family protein(ELF3)",817134
"122","AT4G27820","BGLU9","beta glucosidase 9(BGLU9)",828895
"123","AT5G40060","AT5G40060","Disease resistance protein (NBS-LRR class) family(AT5G40060)",834003
"124","AT2G26430","CYCL1-1","arginine-rich cyclin 1(RCY1)",817183
"125","AT2G31810","AT2G31810","ACT domain-containing small subunit of acetolactate synthase protein(AT2G31810)",817738
"126","AT4G35440","CLC-E","chloride channel E(CLC-E)",829696
"127","AT5G67380","CKA1","casein kinase alpha 1(CKA1)",836873
"128","AT5G23380","AT5G23380","hypothetical protein (DUF789)(AT5G23380)",832402
"129","AT5G63190","AT5G63190","MA3 domain-containing protein(AT5G63190)",836440
"130","AT1G21640","NADK2","NAD kinase 2(NADK2)",838766
"131","AT3G23410","FAO3","fatty alcohol oxidase 3(FAO3)",821922
"132","AT1G18460","AT1G18460","alpha/beta-Hydrolases superfamily protein(AT1G18460)",838426
"133","AT1G73660","AT1G73660","protein tyrosine kinase family protein(AT1G73660)",843701
"134","AT3G60030","SPL12","squamosa promoter-binding protein-like 12(SPL12)",825173
"135","AT1G15340","MBD10","methyl-CPG-binding domain 10(MBD10)",838103
"136","AT3G11560","AT3G11560","LETM1-like protein(AT3G11560)",820329
"137","AT1G25054","LPXC4","UDP-3-O-acyl N-acetylglycosamine deacetylase family protein(LpxC3)",839094
"138","AT3G14362","DVL19","ROTUNDIFOLIA like 10(RTFL10)",5008002
"139","AT1G01430","TBL25","TRICHOME BIREFRINGENCE-LIKE 25(TBL25)",837247
"140","AT4G31380","FLP1","flowering-promoting factor-like protein(FLP1)",28720195
"141","AT2G03890","PI4KG7","phosphoinositide 4-kinase gamma 7(PI4K GAMMA 7)",814915
"142","AT2G28910","CXIP4","CAX interacting protein 4(CXIP4)",817440
"143","AT3G58500","PP2A3","protein phosphatase 2A-4(PP2A-4)",825019
"144","AT4G19160","AT4G19160","transglutaminase family protein(AT4G19160)",827654
"145","AT1G33250","AT1G33250","beta-1,3-n-acetylglucosaminyltransferase radical fringe protein, putative (DUF604)(AT1G33250)",840219
"146","AT5G08150","SOB5","suppressor of phytochrome b 5(SOB5)",830711
"147","AT1G03580","AT1G03580","miscRNA(AT1G03580)",3766651
"148","AT4G32790","AT4G32790","Exostosin family protein(AT4G32790)",829415
"149","AT3G09880","B'BETA","Protein phosphatase 2A regulatory B subunit family protein(ATB' BETA)",820146
"150","AT2G20120","COV1","CONTINUOUS VASCULAR RING protein (DUF502)(COV1)",816531
"151","AT2G45830","DTA2","downstream target of AGL15 2(DTA2)",819191
"152","AT3G02130","RPK2","receptor-like protein kinase 2(RPK2)",821240
"153","AT4G36140","AT4G36140","disease resistance protein (TIR-NBS-LRR class)(AT4G36140)",829771
"154","AT2G47160","BOR1","HCO3- transporter family(BOR1)",819329
"155","AT4G03110","BRN1","RNA-binding protein-defense related 1(RBP-DR1)",828090
"156","AT5G54230","MYB49","myb domain protein 49(MYB49)",835511
"157","AT1G72300","PSYR1","Leucine-rich receptor-like protein kinase family protein(PSY1R)",843562
"158","AT3G50010","AT3G50010","Cysteine/Histidine-rich C1 domain family protein(AT3G50010)",824163
"159","AT1G72416","AT1G72416","Chaperone DnaJ-domain superfamily protein(AT1G72416)",3767688
"160","AT1G65390","PP2A5","phloem protein 2 A5(PP2-A5)",842851
"161","AT4G11240","TOPP6","Calcineurin-like metallo-phosphoesterase superfamily protein(TOPP7)",826726
"162","AT3G18215","AT3G18215","transmembrane protein, putative (Protein of unknown function, DUF599)(AT3G18215)",821349
"163","AT1G11820","AT1G11820","O-Glycosyl hydrolases family 17 protein(AT1G11820)",837730
"164","AT2G15292","AT2G15292","ncRNA(AT2G15292)",7922453
"165","AT3G43850","AT3G43850","hypothetical protein(AT3G43850)",823498
"166","AT4G26480","AT4G26480","RNA-binding KH domain-containing protein(AT4G26480)",828754
"167","AT5G58120","AT5G58120","Disease resistance protein (TIR-NBS-LRR class) family(AT5G58120)",835924
"168","AT1G17050","SPS2","solanesyl diphosphate synthase 2(SPS2)",838275
"169","AT4G27030","FAD4","fatty acid desaturase A(FADA)",828811
"170","AT1G55960","AT1G55960","Polyketide cyclase/dehydrase and lipid transport superfamily protein(AT1G55960)",842047
"171","AT2G26975","COPT6","Ctr copper transporter family(COPT6)",817239
"172","AT2G32480","ARASP","chloroplastic membrane metallo proteases(ARASP)",817809
"173","AT4G12320","CYP706A6","cytochrome P450, family 706, subfamily A, polypeptide 6(CYP706A6)",826841
"174","AT1G76570","AT1G76570","Chlorophyll A-B binding family protein(AT1G76570)",843990
"175","AT2G22360","AT2G22360","DNAJ heat shock family protein(AT2G22360)",816768
"176","AT3G21390","AT3G21390","Mitochondrial substrate carrier family protein(AT3G21390)",821693
"177","AT4G26860","AT4G26860","Putative pyridoxal phosphate-dependent enzyme, YBL036C type(AT4G26860)",828793
"178","AT1G21326","AT1G21326","VQ motif-containing protein(AT1G21326)",838731
"179","AT1G32220","AT1G32220","NAD(P)-binding Rossmann-fold superfamily protein(AT1G32220)",840114
"180","AT5G46270","AT5G46270","Disease resistance protein (TIR-NBS-LRR class) family(AT5G46270)",834669
"181","AT1G51270","PVA14","vesicle-associated protein 1-4(AT1G51270)",841550
"182","AT2G40300","FER4","ferritin 4(FER4)",818622
"183","AT1G01340","CNGC10","cyclic nucleotide gated channel 10(CNGC10)",838832
"184","AT1G03400","AT1G03400","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT1G03400)",838751
"185","AT1G16260","WAKL8","Wall-associated kinase family protein(AT1G16260)",838195
"186","AT4G24120","YSL1","YELLOW STRIPE like 1(YSL1)",828512
"187","AT5G55930","OPT1","oligopeptide transporter 1(OPT1)",835691
"188","AT1G71480","AT1G71480","Nuclear transport factor 2 (NTF2) family protein(AT1G71480)",843489
"189","AT5G43190","AT5G43190","Galactose oxidase/kelch repeat superfamily protein(AT5G43190)",834337
"190","AT1G24340","EMB260","FAD/NAD(P)-binding oxidoreductase family protein(EMB2421)",839050
"191","AT3G26320","CYP71B36","cytochrome P450, family 71, subfamily B, polypeptide 36(CYP71B36)",822236
"192","AT3G07040","RPM1","NB-ARC domain-containing disease resistance protein(RPM1)",819889
"193","AT5G57640","AT5G57640","GCK domain-containing protein(AT5G57640)",835869
"194","AT1G34760","GRF11","general regulatory factor 11(GRF11)",840380
"195","AT5G23050","AAE17","acyl-activating enzyme 17(AAE17)",832369
"196","AT3G01540","RH14","DEAD box RNA helicase 1(DRH1)",821116
"197","AT5G05100","AT5G05100","Single-stranded nucleic acid binding R3H protein(AT5G05100)",830392
"198","AT1G70290","TPS8","trehalose-6-phosphatase synthase S8(TPS8)",843365
"199","AT4G01330","AT4G01330","Protein kinase superfamily protein(AT4G01330)",828117
"200","AT2G43680","IQD14","IQ-domain 14(IQD14)",818970
"201","AT4G30200","VIL2","vernalization5/VIN3-like protein(VEL1)",829143
"202","AT1G22740","RABG3B","RAB GTPase homolog G3B(RABG3B)",838880
"203","AT3G08510","PLC2","phospholipase C 2(PLC2)",819999
"204","AT5G06220","AT5G06220","LETM1-like protein(AT5G06220)",830509
"205","AT1G68840","RAV2","related to ABI3/VP1 2(RAV2)",843216
"206","AT2G23070","AT2G23070","Protein kinase superfamily protein(AT2G23070)",816837
"207","AT5G64920","CIP8","COP1-interacting protein 8(CIP8)",836616
"208","AT5G66052","AT5G66052","transmembrane protein(AT5G66052)",836736
"209","AT2G18280","TULP2","tubby like protein 2(TLP2)",816344
"210","AT5G41700","UBC8","ubiquitin conjugating enzyme 8(UBC8)",834173
"211","AT3G06190","BPM2","BTB-POZ and MATH domain 2(BPM2)",819793
"212","AT5G21170","KINB1","5'-AMP-activated protein kinase beta-2 subunit protein(AKINBETA1)",832243
"213","AT2G45670","LPEAT2","calcineurin B subunit-like protein(AT2G45670)",819175
"214","AT3G09760","AT3G09760","RING/U-box superfamily protein(AT3G09760)",820134
"215","AT3G16857","ARR1","response regulator 1(RR1)",820940
"216","AT3G16690","SWEET16","Nodulin MtN3 family protein(SWEET16)",820921
"217","AT1G10020","AT1G10020","formin-like protein (DUF1005)(AT1G10020)",837537
"218","AT2G14910","AT2G14910","MAR-binding filament-like protein(AT2G14910)",815980
"219","AT5G13090","AT5G13090","hypothetical protein(AT5G13090)",831148
"220","AT2G45740","PEX11D","peroxin 11D(PEX11D)",819182
"221","AT1G12440","SAP1","A20/AN1-like zinc finger family protein(AT1G12440)",837801
"222","AT1G61900","AT1G61900","hypothetical protein(AT1G61900)",842486
"223","AT4G34970","ADF9","actin depolymerizing factor 9(ADF9)",829649
"224","AT5G21940","AT5G21940","hybrid signal transduction histidine kinase M-like protein(AT5G21940)",832254
"225","AT4G02440","EID1","F-box family protein(EID1)",828008
"226","AT5G39080","AT5G39080","HXXXD-type acyl-transferase family protein(AT5G39080)",833900
"227","AT1G09940","HEMA2","Glutamyl-tRNA reductase family protein(HEMA2)",837528
"228","AT4G04770","ABCI8","ATP binding cassette protein 1(ABCI8)",825814
"229","AT2G35800","AT2G35800","mitochondrial substrate carrier family protein(SAMTL)",818153
"230","AT5G28770","BZIP63","bZIP transcription factor family protein(BZO2H3)",832990
"231","AT2G16365","AT2G16365","F-box family protein(AT2G16365)",816133
"232","AT1G43700","VIP1","VIRE2-interacting protein 1(VIP1)",840957
"233","AT4G24972","TPD1","tapetum determinant 1(TPD1)",2745725
"234","AT1G56280","ATDI19","drought-induced 19(DI19)",842081
"235","AT3G61260","AT3G61260","Remorin family protein(AT3G61260)",825298
"236","AT1G05690","BT3","BTB and TAZ domain protein 3(BT3)",837076
"237","AT2G21970","2-Sep","stress enhanced protein 2(SEP2)",816733
"238","AT1G17120","CAT8","cationic amino acid transporter 8(CAT8)",838282
"239","AT3G04590","AHL14","AT hook motif DNA-binding family protein(AT3G04590)",819615
"240","AT3G25410","BASS3","Sodium Bile acid symporter family(AT3G25410)",822125
"241","AT5G64290","DIT2-1","dicarboxylate transport 2.1(DIT2.1)",836550
"242","AT2G37540","AT2G37540","NAD(P)-binding Rossmann-fold superfamily protein(AT2G37540)",818330
"243","AT2G19310","HSP18.5","HSP20-like chaperones superfamily protein(AT2G19310)",816448
"244","AT3G26630","PCMP-A6","Tetratricopeptide repeat (TPR)-like superfamily protein(AT3G26630)",822275
"245","AT4G15690","GRXS5","Thioredoxin superfamily protein(AT4G15690)",827246
"246","AT5G42750","BKI1","BRI1 kinase inhibitor 1(BKI1)",834284
"247","AT5G20220","AT5G20220","zinc knuckle (CCHC-type) family protein(AT5G20220)",832144
"248","AT2G31380","BBX25","salt tolerance homologue(STH)",817696
"249","AT5G58770","AT5G58770","Undecaprenyl pyrophosphate synthetase family protein(cPT4)",835991
"250","AT5G26200","AT5G26200","Mitochondrial substrate carrier family protein(AT5G26200)",832689
"251","AT3G19170","PREP1","presequence protease 1(PREP1)",821451
"252","AT5G58870","FTSH9","FTSH protease 9(ftsh9)",836004
"253","AT2G21960","AT2G21960","transmembrane protein(AT2G21960)",816732
"254","AT4G25170","AT4G25170","Uncharacterized conserved protein (UCP012943)(AT4G25170)",828620
"255","AT5G63020","AT5G63020","Disease resistance protein (CC-NBS-LRR class) family(AT5G63020)",836422
"256","AT2G22990","SCPL8","sinapoylglucose 1(SNG1)",816830
"257","AT2G46830","CCA1","circadian clock associated 1(CCA1)",819296
"258","AT3G60850","AT3G60850","hypothetical protein(AT3G60850)",825256
"259","AT5G13760","AT5G13760","Plasma-membrane choline transporter family protein(AT5G13760)",831221
"260","AT1G19680","AT1G19680","RING/U-box superfamily protein(AT1G19680)",838555
"261","AT3G17650","YSL5","YELLOW STRIPE like 5(YSL5)",821032
"262","AT4G03260","AT4G03260","Outer arm dynein light chain 1 protein(AT4G03260)",828003
"263","AT4G15990","AT4G15990","hypothetical protein(AT4G15990)",827283
"264","AT1G47530","AT1G47530","MATE efflux family protein(AT1G47530)",841162
"265","AT4G15760","MO1","monooxygenase 1(MO1)",827255
"266","AT5G44130","FLA13","FASCICLIN-like arabinogalactan protein 13 precursor(FLA13)",834436
"267","AT3G56290","AT3G56290","potassium transporter(AT3G56290)",824796
"268","AT1G42560","MLO9","Seven transmembrane MLO family protein(MLO9)",840861
"269","AT1G64500","AT1G64500","Glutaredoxin family protein(AT1G64500)",842758
"270","AT1G78510","SPS1","solanesyl diphosphate synthase 1(SPS1)",844187
"271","AT5G38510","AT5G38510","Rhomboid-related intramembrane serine protease family protein(AT5G38510)",833839
"272","AT3G27170","CLC-B","chloride channel B(CLC-B)",822336
"273","AT4G18205","PUP21","Nucleotide-sugar transporter family protein(AT4G18205)",3770304
"274","AT5G25140","CYP71B13","cytochrome P450, family 71, subfamily B, polypeptide 13(CYP71B13)",832585
"275","AT5G59920","ULI3","Cysteine/Histidine-rich C1 domain family protein(ULI3)",836114
"276","AT3G47350","HSD2","hydroxysteroid dehydrogenase 2(HSD2)",823889
"277","AT1G05562","AT1G05562","ncRNA(AT1G05562)",10723102
"278","AT5G28919","AT5G28919","hypothetical protein(AT5G28919)",6240566
"279","AT2G39480","ABCB6","P-glycoprotein 6(ABCB6)",818533
"280","AT1G26790","DOF1.3","Dof-type zinc finger DNA-binding family protein(AT1G26790)",839220
"281","AT1G71400","RLP12","receptor like protein 12(RLP12)",843481
"282","AT5G13710","SMT1","sterol methyltransferase 1(SMT1)",831216
"283","AT3G07270","GCH1","GTP cyclohydrolase I(AT3G07270)",819915
"284","AT3G15820","ROD1","phosphatidic acid phosphatase-related / PAP2-like protein(ROD1)",820825
"285","AT5G03240","UBQ3","polyubiquitin 3(UBQ3)",831899
"286","AT1G49240","ACT8","actin 8(ACT8)",841347
"287","AT4G35230","BSK1","BR-signaling kinase 1(BSK1)",829676
"288","AT3G50560","AT3G50560","NAD(P)-binding Rossmann-fold superfamily protein(AT3G50560)",824220
"289","AT2G45160","SCL27","GRAS family transcription factor(HAM1)",819124
"290","AT5G66040","STR16","sulfurtransferase protein 16(STR16)",836734
"291","AT2G24580","AT2G24580","FAD-dependent oxidoreductase family protein(AT2G24580)",816994
"292","AT2G38310","PYL4","PYR1-like 4(PYL4)",818411
"293","AT3G18780","ACT2","actin 2(ACT2)",821411
"294","AT1G53210","AT1G53210","sodium/calcium exchanger family protein / calcium-binding EF hand family protein(AT1G53210)",841755
"295","AT3G44430","AT3G44430","transmembrane protein(AT3G44430)",823568
"296","AT3G16240","TIP2-1","delta tonoplast integral protein(DELTA-TIP)",820870
"297","AT5G32450","AT5G32450","RNA binding (RRM/RBD/RNP motifs) family protein(AT5G32450)",833204
"298","AT1G72130","NPF5.11","Major facilitator superfamily protein(AT1G72130)",843544
"299","AT5G58950","AT5G58950","Protein kinase superfamily protein(AT5G58950)",836012
"300","AT3G48360","BT2","BTB and TAZ domain protein 2(BT2)",823994
"301","AT5G57360","ADO1","Galactose oxidase/kelch repeat superfamily protein(ZTL)",835842
"302","AT3G23880","AT3G23880","F-box and associated interaction domains-containing protein(AT3G23880)",821971
"303","AT1G16320","AT1G16320","plant/protein (DUF2358)(AT1G16320)",838201
"304","AT3G61060","PP2A13","phloem protein 2-A13(PP2-A13)",825278
"305","AT2G21540","SFH3","SEC14-like 3(SFH3)",816693
"306","AT2G42580","TTL3","tetratricopetide-repeat thioredoxin-like 3(TTL3)",818858
"307","AT1G29120","AT1G29120","Hydrolase-like protein family(AT1G29120)",839787
"308","AT1G72430","AT1G72430","SAUR-like auxin-responsive protein family(AT1G72430)",843575
"309","AT1G61740","AT1G61740","Sulfite exporter TauE/SafE family protein(AT1G61740)",842471
"310","AT5G54250","CNGC4","cyclic nucleotide-gated cation channel 4(CNGC4)",835513
"311","AT1G76890","GT-2","Duplicated homeodomain-like superfamily protein(GT2)",844024
"312","AT5G24820","AT5G24820","Eukaryotic aspartyl protease family protein(AT5G24820)",832551
"313","AT5G47620","AT5G47620","RNA-binding (RRM/RBD/RNP motifs) family protein(AT5G47620)",834812
"314","AT2G41640","AT2G41640","Glycosyltransferase family 61 protein(AT2G41640)",818762
"315","AT4G07825","AT4G07825","transmembrane protein(AT4G07825)",826264
"316","AT4G31390","AT4G31390","Protein kinase superfamily protein(ACDO1)",829266
"317","AT1G69252","AT1G69252","ncRNA(AT1G69252)",6240760
"318","AT4G09830","AT4G09830","nuclear receptor family 2 group C protein(AT4G09830)",826572
"319","AT3G06250","FRS7","FAR1-related sequence 7(FRS7)",819799
"320","AT3G53680","AT3G53680","Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger domain-containing protein(AT3G53680)",824535
"321","AT1G03300","ATDUF1","agenet domain protein (DOMAIN OF UNKNOWN FUNCTION 724 1)(ATDUF1)",838627
"322","AT3G47750","ATATH3","ATP binding cassette subfamily A4(ABCA4)",823929
"323","AT1G03055","D27","beta-carotene isomerase D27-like protein(D27)",838334
"324","AT5G55570","AT5G55570","transmembrane protein(AT5G55570)",835651
"325","AT2G34000","AT2G34000","RING/U-box superfamily protein(AT2G34000)",817961
"326","AT1G02010","SEC1A","secretory 1A(SEC1A)",839288
"327","AT3G06330","AT3G06330","RING/U-box superfamily protein(AT3G06330)",819807
"328","AT3G03380","DEGP7","DegP protease 7(DEG7)",821268
"329","AT4G19510","AT4G19510","Disease resistance protein (TIR-NBS-LRR class)(AT4G19510)",827692
"330","AT5G54280","VIII-2","myosin 2(ATM2)",835516
"331","AT1G67710","ARR11","response regulator 11(ARR11)",843096
"332","AT2G25660","emb2410","embryo defective 2410(emb2410)",817107
